id,cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,3
71,0
72,0
73,0
74,0
75,0
76,3
77,0
78,5
79,8
80,10
81,10
82,17
83,24
84,27
85,33
86,39
87,39
88,48
89,48
90,48
91,49
92,49
93,51
94,54
95,56
96,61
97,70
98,88
99,123
100,164
101,218
102,330
103,424
104,482
105,621
106,803
107,1012
108,1231
109,1572
110,1838
111,2144
112,2456
113,2948
114,3382
115,3772
116,4186
117,4689
118,4998
119,5416
120,5913
121,6462
122,7103
123,7667
124,8238
125,8790
126,9455
127,10143
128,10929
129,11719
130,12425
131,13134
132,13770
133,14657
134,15691
135,16660
136,17822
137,18863
138,20065
139,20995
140,22268
141,23870
142,25121
143,26738
144,28511
145,30205
146,32078
147,33610
148,35585
149,36751
150,38292
151,40321
152,42844
153,44608
154,47153
155,49534
156,52445
157,55140
158,57563
159,60391
160,63026
161,65769
162,68504
163,71675
164,74865
165,78052
166,81523
167,84379
168,87520
169,90619
170,94481
171,98489
172,102292
173,105535
174,108775
175,112306
176,115786
177,119198
178,122660
179,126606
180,130474
181,133978
182,137787
183,141801
184,145483
185,149258
186,153277
187,156391
188,159679
189,162417
190,165618
191,168645
192,172134
193,175494
194,178443
195,181129
196,183795
197,186894
198,190057
199,193590
200,196323
201,199357
202,202066
203,204525
204,207453
205,210510
206,213254
207,216110
208,218658
209,221178
210,223453
211,226225
212,229185
213,232194
214,234889
215,237661
216,239860
217,240746
218,242102
219,244020
220,246674
221,249651
222,252502
223,255113
224,257600
225,260507
226,263503
227,266498
228,269115
229,271881
230,274525
231,276549
232,279144
233,282344
234,285091
235,287959
236,290360
237,292625
238,294598
239,297083
240,299628
241,302147
242,304583
243,306794
244,308925
245,310822
246,312996
247,314946
